ID,farmer_id,gender,registration,age,trainer,group_name,belong_to_cooperative,county,subcounty,ward,topics,has_topic_trained_on,training_date,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days
ID_7FE2A6,famer_19076,Male,Ussd,Below 35,trainer_name_4,GRP_ullispn,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,The Benefits Of Ndume App,1,2024-08-07,0,0,0
ID_S8ND0N,famer_34711,Male,Ussd,Below 35,trainer_name_10,GRP_dvnamti,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Feed Management,1,2024-08-21,0,0,0
ID_XQNPGI,famer_18187,Female,Ussd,Above 35,trainer_name_8,GRP_isxuare,0,CNT_jeyuqkv,SUB_ylevqsci,WRD_hoicrrdhg,"Dairy Health Management,Diseases In Dairy Farming,Milking Hygiene,Poultry Diseases And Biosecurity ,Poultry Health Management",1,2024-09-30,0,0,1
ID_K7V99B,famer_29009,Female,Ussd,Above 35,trainer_name_5,GRP_necglec,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Kienyeji Chicken Rearing For October,1,2024-10-04,0,1,1
ID_72AL7H,famer_31927,Female,Ussd,Above 35,trainer_name_10,GRP_elreteu,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Reasons Why Ai Fails And Solutions,1,2024-05-28,0,0,0
ID_W03U1S,famer_42291,Female,Ussd,Above 35,trainer_name_3,GRP_drytmng,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_hlngggztv,Herd Health. Management,1,2025-02-04,0,0,0
ID_4JHDYE,famer_27402,Female,Ussd,Above 35,trainer_name_5,GRP_gwzqfyg,1,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Poultry Diseases And Biosecurity,1,2024-11-02,1,1,1
ID_HE17UI,famer_39752,Male,Ussd,Below 35,trainer_name_2,GRP_icrrdhg,0,CNT_curllwc,SUB_fcnzttsu,WRD_cnzttsund,"Aflatoxin In Dairy Farming,Antimicrobial Resistance,Deworming And Record Keeping In Animal Health,Herd. Health. Management,Why You Should Vaccinate Your Animals",1,2024-08-16,0,1,1
ID_BOYJ83,famer_11291,Male,Ussd,Below 35,trainer_name_10,GRP_eisvcbs,0,CNT_uemdrmi,SUB_zpljppha,WRD_faxhrxaaa,Poultry And Dairy Feeding With Tyari Feeds,1,2025-04-03,0,0,0
ID_RJFR7P,famer_24379,Female,Manual,Above 35,trainer_name_3,GRP_srzbtul,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_eehpdldoa,Disadvantages Of Natural Mating,1,2024-05-02,0,0,0
ID_KEVBY7,famer_7782,Female,Manual,Above 35,trainer_name_3,GRP_bmzowtw,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_kdjylcqzw,Pest And Disease Management In Maize And Beans,1,2025-05-16,0,0,0
ID_AT022T,famer_21433,Female,Ussd,Above 35,trainer_name_5,GRP_ojxgnrq,1,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Milking Hygiene,1,2024-11-21,1,1,1
ID_WNCAFH,famer_18534,Male,Ussd,Below 35,trainer_name_10,GRP_klczvfo,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Herd Health Management.,1,2024-08-24,0,0,0
ID_YBKXMN,famer_27925,Female,Ussd,Above 35,trainer_name_5,GRP_wgmfmla,1,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Dairy Health Management,1,2024-12-12,1,1,1
ID_JQO4UP,famer_19385,Female,Ussd,Below 35,trainer_name_10,GRP_eclifdw,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Aflatoxin In Dairy Farming,1,2024-10-01,0,0,0
ID_2RCMGH,famer_39774,Female,Ussd,Below 35,trainer_name_10,GRP_lnbgahy,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Health Management..,1,2024-08-29,0,0,0
ID_0WYA9A,famer_25219,Female,Ussd,Below 35,trainer_name_10,GRP_mojdqxn,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Some Reasons Why Ai Fails And Solutions,1,2024-06-28,0,0,0
ID_Q5W1J8,famer_14189,Female,Ussd,Above 35,trainer_name_5,GRP_yfpdsks,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Poultry Feeding With Tyari,1,2025-02-24,0,1,1
ID_AL7TYC,famer_29787,Female,Ussd,Above 35,trainer_name_10,GRP_grzttmc,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Management Practises..,1,2024-08-27,0,0,1
ID_MIXGA4,famer_33629,Female,Manual,Above 35,trainer_name_7,GRP_ezkdbwc,0,CNT_utfjmmb,SUB_gugsulth,WRD_nwxdypqcq,Poultry Management Practises..,1,2024-09-19,0,0,0
ID_PXD6WU,famer_27902,Male,Ussd,Below 35,trainer_name_2,GRP_ajynxcc,0,CNT_curllwc,SUB_fcnzttsu,WRD_cnzttsund,"Herd. Health. Management,Poultry Health Management. Practices",1,2024-12-09,1,1,1
ID_VE71IB,famer_7507,Female,Ussd,Above 35,trainer_name_10,GRP_xnsxywx,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Deworming Your Dairy Animal,1,2024-09-25,0,1,1
ID_P3XKUP,famer_5634,Female,Manual,Above 35,trainer_name_4,GRP_xuhbrdc,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Poultry Feeding With Tyari,1,2025-01-24,1,1,1
ID_T6MRP0,famer_32725,Male,Ussd,Above 35,trainer_name_10,GRP_qzyksnm,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-14,0,1,1
ID_MQNO6P,famer_11692,Female,Ussd,Above 35,trainer_name_4,GRP_iljdzao,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Biodeal Poultry,1,2024-04-17,0,0,0
ID_67273W,famer_19893,Female,Ussd,Above 35,trainer_name_5,GRP_bluqxda,0,CNT_sfcnztt,SUB_uqkvollf,WRD_izjxmslgt,Personal Protective Equipment (Ppe),1,2024-11-18,0,0,0
ID_UKC34I,famer_23397,Female,Manual,Above 35,trainer_name_5,GRP_iuenhfz,1,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Dairy Feed Management,1,2024-05-28,0,0,0
ID_UXP5O4,famer_23568,Female,Ussd,Above 35,trainer_name_5,GRP_ztbvetq,0,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Importance Of Choosing The Right Seed Variety,1,2025-04-08,1,1,1
ID_1XDHEH,famer_16816,Female,Ussd,Above 35,trainer_name_5,GRP_fvbhshs,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,"Benfits Of Sistema Biogas,Dairy Nutrition With Tyari,How To Manage Pest And Diseases At Harvesting Stage,Importance Of Vaccinations And Record,Livestock Management Practices.,Pest And Disease Management In Crops,Poultry Feeding With Tyari,Successfull Breeding With Crv,Weed Management In Crop",1,2025-02-05,1,1,1
ID_0MMJSX,famer_29976,Female,Ussd,Above 35,trainer_name_5,GRP_gunbcol,0,CNT_sfcnztt,SUB_uqkvollf,WRD_hlrdonuzr,How To Rear A Calf With Unga Products,1,2024-08-28,0,0,1
ID_C1T9Z5,famer_15408,Female,Ussd,Above 35,trainer_name_3,GRP_krwnbff,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_kdjylcqzw,The Benefits Of Ndume App,1,2024-07-16,0,0,0
ID_AFTIXL,famer_9549,Female,Manual,Above 35,trainer_name_5,GRP_dhhhrxx,1,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Poultry Housing,1,2024-03-13,0,0,0
ID_AMVZZB,famer_11353,Female,Ussd,Above 35,trainer_name_10,GRP_elreteu,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Reasons Why Ai Fails And Solutions,1,2024-05-28,0,0,0
ID_XXJVES,famer_28829,Male,Manual,Above 35,trainer_name_5,GRP_igheayb,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Poultry And Dairy Feeding With Tyari Feeds,1,2025-04-03,0,0,0
ID_MU2S7X,famer_37454,Female,Ussd,Below 35,trainer_name_10,GRP_etissgb,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Health Management..,1,2024-09-05,0,0,0
ID_32OZ9R,famer_4458,Female,Manual,Above 35,trainer_name_3,GRP_ymnynql,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_hlngggztv,Why You Should Vaccinate Your Animals,1,2024-11-26,0,0,0
ID_EHSFJS,famer_18134,Female,Ussd,Below 35,trainer_name_10,GRP_fcacndf,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Health Management.,1,2024-07-22,0,0,0
ID_A462PF,famer_10113,Male,Ussd,Above 35,trainer_name_10,GRP_xxgarla,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Health Management..,1,2024-09-16,0,1,1
ID_BY4S9R,famer_35262,Female,Ussd,Above 35,trainer_name_4,GRP_zjopifn,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Antimicrobial Resistance,1,2024-09-23,0,1,1
ID_XIH4X5,famer_8255,Female,Ussd,Above 35,trainer_name_5,GRP_necglec,0,CNT_sfcnztt,SUB_uqkvollf,WRD_hlrdonuzr,Calf Rearing For October,1,2024-10-04,0,1,1
ID_K2JFNJ,famer_9771,Male,Ussd,Below 35,trainer_name_5,GRP_ojxgnrq,1,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Poultry Diseases And Biosecurity,1,2024-11-21,0,1,1
ID_BSWDET,famer_881,Female,Ussd,Above 35,trainer_name_8,GRP_zdssqxa,0,CNT_jeyuqkv,SUB_ylevqsci,WRD_hoicrrdhg,"Calf Feeding,Dairy Feed Management,Dairy Health Management,Diseases In Dairy Farming,Feeding A Lactating Cow,Poultry Health Management,Record Keeping In Poultry",1,2024-05-08,0,0,1
ID_MEEZMF,famer_2957,Male,Manual,Above 35,trainer_name_10,GRP_ldywxjq,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,How To Control Foot And Mouth,1,2024-08-19,0,0,0
ID_X73MWK,famer_10989,Female,Manual,Above 35,trainer_name_3,GRP_friaavd,0,CNT_bwvhqet,SUB_zrkkkvie,WRD_gqoykhbaj,Herd. Health. Management,1,2024-12-13,0,0,0
ID_5FCKNX,famer_22762,Male,Ussd,Above 35,trainer_name_10,GRP_iomehdv,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Herd Health,1,2024-04-30,0,0,0
ID_1ZBTJY,famer_26590,Female,Ussd,Above 35,trainer_name_3,GRP_xxmxgrk,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_vycwbmpjd,Herd Health. Management,1,2025-03-12,0,0,0
ID_MXO6G8,famer_9860,Female,Ussd,Below 35,trainer_name_8,GRP_eeuvoay,0,CNT_jeyuqkv,SUB_olnoadgc,WRD_vxdtejpsw,"Dairy Feed Management,Poultry Feed And Water Management,Record Keeping In Poultry",0,2024-05-15,0,0,0
ID_KD4YAW,famer_22450,Female,Ussd,Above 35,trainer_name_5,GRP_jgbnjig,0,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,"Dairy Hygiene, Health And Feeds",1,2024-04-09,0,0,0
ID_FZH0V2,famer_24850,Male,Ussd,Above 35,trainer_name_10,GRP_gkbgllc,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Management Practises..,1,2024-08-29,0,0,0
ID_IAJLQ8,famer_15231,Male,Ussd,Above 35,trainer_name_10,GRP_yzqdcui,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Feed Management,1,2024-08-21,0,0,1
ID_TYKQIT,famer_9804,Female,Ussd,Above 35,trainer_name_10,GRP_aeavlbf,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Aflatoxin In Dairy Farming,1,2024-10-18,0,0,0
ID_OTTZIP,famer_35154,Female,Ussd,Above 35,trainer_name_10,GRP_rkugcxa,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Management Practises.,1,2024-08-01,0,0,0
ID_Q9SQBY,famer_34621,Female,Ussd,Below 35,trainer_name_10,GRP_rkkchya,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-11,0,1,1
ID_73ATP7,famer_17463,Male,Ussd,Below 35,trainer_name_10,GRP_meiflml,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Aflatoxin In Dairy Farming,1,2024-10-24,0,1,1
ID_QPAY6O,famer_16007,Male,Ussd,Below 35,trainer_name_8,GRP_tqxlaal,1,CNT_jeyuqkv,SUB_ylevqsci,WRD_bhlzzdxct,"Calf Feeding,Dairy Feed Management,Dairy Health Management,Diseases In Dairy Farming,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Feed And Water Management,Poultry Health Management,Record Keeping In Poultry",1,2024-06-03,1,1,1
ID_47FJE7,famer_10480,Male,Ussd,Above 35,trainer_name_4,GRP_qlqurqv,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Dairy Cow Feeding,1,2024-02-21,0,0,0
ID_6PUZM7,famer_21240,Male,Ussd,Above 35,trainer_name_10,GRP_xnsxywx,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Reasons Why Ai Fails And Solutions,1,2024-06-14,0,0,0
ID_KEI4BG,famer_1238,Female,Ussd,Above 35,trainer_name_8,GRP_pglcyth,0,CNT_jeyuqkv,SUB_ylevqsci,WRD_hoicrrdhg,"Biosecurity In Poultry Farming,Calf Feeding,Dairy Health Management,Diseases In Dairy Farming,Feeding A Lactating Cow,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity ,Poultry Health Management",1,2024-09-08,0,0,1
ID_MTQMMA,famer_24451,Female,Ussd,Above 35,trainer_name_10,GRP_xpxzqvc,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Antimicrobial Resistance,1,2024-09-24,0,0,1
ID_BREU31,famer_14661,Female,Ussd,Below 35,trainer_name_5,GRP_vsdbkmg,0,CNT_sfcnztt,SUB_uqkvollf,WRD_eirdrcepu,"Benefits Of Sistema Biogas,Benfits Of Sistema Biogas,General Livestock Management,Harvesting & Post-Harvest Handling.,How To Manage Pest And Diseases At Harvesting Stage.,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Livestock Management Practices..,Pest And Disease Management In Maize And Beans",0,2025-05-14,0,0,0
ID_JONSGH,famer_8023,Female,Ussd,Above 35,trainer_name_10,GRP_tmsxqvu,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Deworming Your Dairy Animal,1,2024-09-25,0,0,0
ID_075WLI,famer_26240,Male,Ussd,Below 35,trainer_name_10,GRP_gjtwhcp,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-23,1,1,1
ID_ERCUB1,famer_29363,Male,Ussd,Below 35,trainer_name_10,GRP_kbtmkrd,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,How To Succeed In Breeding,1,2024-03-28,0,0,0
ID_BVLHPW,famer_26678,Male,Ussd,Above 35,trainer_name_10,GRP_svncsxf,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Aflatoxin In Dairy Farming,1,2024-10-02,0,0,0
ID_J6451P,famer_42077,Female,Ussd,Below 35,trainer_name_10,GRP_gkbgllc,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-27,0,1,1
ID_GTE802,famer_25180,Female,Ussd,Above 35,trainer_name_5,GRP_hxmujtf,1,CNT_sfcnztt,SUB_uqkvollf,WRD_izjxmslgt,Poultry Feeding With Tyari,1,2025-01-28,1,1,1
ID_T0X4VV,famer_39937,Female,Manual,Above 35,trainer_name_3,GRP_puhihdd,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_iupuqqqut,The Benefits Of Ndume App,1,2024-09-06,0,0,0
ID_3DFHZR,famer_25026,Female,Ussd,Above 35,trainer_name_4,GRP_ullispn,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Poultry And Dairy Feeding With Tyari Feeds,1,2025-04-02,0,0,0
ID_52ALO9,famer_987,Female,Ussd,Above 35,trainer_name_10,GRP_bdonqcw,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-12,0,1,1
ID_B7UY0I,famer_29273,Female,Ussd,Above 35,trainer_name_5,GRP_rmnximo,0,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,"Dairy Nutrition With Tyari,Poultry Feeding With Tyari",1,2025-02-14,1,1,1
ID_4UQHLA,famer_11468,Female,Manual,Above 35,trainer_name_4,GRP_unipgfj,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Importance Of Mineral Supplementation,1,2024-12-18,0,1,1
ID_C0I9YL,famer_9903,Female,Manual,Above 35,trainer_name_3,GRP_gkhglwt,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_kdjylcqzw,Disadvantages In Natural Mating,1,2024-04-16,0,0,0
ID_X9S9S4,famer_37684,Female,Ussd,Above 35,trainer_name_5,GRP_ckvnmgo,0,CNT_sfcnztt,SUB_rutfjmmb,WRD_zgugsulth,"Biosecurity In Poultry Farming,Calf Feeding,Dairy Feed Management,Dairy Housing,Dairy Hygiene, Health And Feeds,Feed For Layers,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat,How To Feed Kienyeji Chicken From 1 Day Old To Maturity,How To Feed Layers From 1 Day Old To Maturity,How To Rear A Calf With Unga Products,How To Rear Healthy Chicken With Biodeal,How To Rear Healthy Chicken With Biodeal.,Kienyeji Chicken Rearing For October,Kienyeji Poultry Feeds,Microp+ Topdressing,Milking Hygiene,Personal Protective Equipment (Ppe),Poultry Diseases And Biosecurity,Poultry Feed And Water Management,Poultry Housing,Record Keeping In Poultry,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving,Unga Dairy Feeds, Hygiene And Health Products",0,2024-03-06,0,0,0
ID_JG39WX,famer_23340,Female,Ussd,Above 35,trainer_name_5,GRP_ihmfzem,0,CNT_sfcnztt,SUB_uqkvollf,WRD_izjxmslgt,Importance Of Vaccinations And Record,1,2025-05-14,0,0,1
ID_8IBAO1,famer_18179,Female,Ussd,Above 35,trainer_name_10,GRP_zklokul,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Herd Health Management.,1,2024-07-24,0,0,0
ID_BP2N5Q,famer_2847,Female,Manual,Above 35,trainer_name_3,GRP_nsfpbqf,0,CNT_bwvhqet,SUB_xhlrdonu,WRD_kdjylcqzw,Sheep & Goats Management,1,2025-02-19,0,0,0
ID_VG1SJB,famer_25580,Female,Ussd,Above 35,trainer_name_5,GRP_uugufka,1,CNT_sfcnztt,SUB_uqkvollf,WRD_hlrdonuzr,How To Feed Kienyeji Chicken For Meat,1,2024-08-09,0,0,1
ID_P8NY2M,famer_23568,Female,Ussd,Above 35,trainer_name_5,GRP_ztbvetq,0,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Poultry And Dairy Feeding With Tyari Feeds,1,2025-04-08,1,1,1
ID_MKCAC5,famer_23568,Female,Ussd,Above 35,trainer_name_5,GRP_ztbvetq,0,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,"Asili Fertilizer (Organic),Dairy Nutrition With Tyari,Importance Of Choosing The Right Seed Variety,Importance Of Vaccinations And Record,Livestock Management Practices,Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry And Dairy Feeding With Tyari Feeds,Poultry Feeding With Tyari,Successfull Breeding With Crv,Weed Management In Crop",1,2025-02-11,0,1,1
ID_RDGYM2,famer_16768,Female,Ussd,Above 35,trainer_name_5,GRP_qbtquvf,1,CNT_sfcnztt,SUB_coxbwvhq,WRD_kkkvieiac,Poultry Feeding With Tyari,1,2025-02-03,0,0,0
ID_DBJY1Y,famer_24648,Male,Ussd,Below 35,trainer_name_10,GRP_eclifdw,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Herd Health Management.,1,2024-07-31,0,0,0
ID_GSYDZM,famer_21456,Female,Manual,Above 35,trainer_name_3,GRP_dknceyp,0,CNT_bwvhqet,SUB_zrkkkvie,WRD_rukvizntw,Aflatoxin In Dairy Farming,1,2024-10-22,0,0,0
ID_B2BK2B,famer_28889,Female,Ussd,Above 35,trainer_name_5,GRP_zekqkgy,0,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Dairy Nutrition With Tyari,1,2025-01-30,1,1,1
ID_K9GIXY,famer_31258,Female,Manual,Above 35,trainer_name_4,GRP_zjopifn,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Poultry Management. Practices,1,2025-02-03,1,1,1
ID_63K06X,famer_29044,Female,Manual,Above 35,trainer_name_5,GRP_bluqxda,1,CNT_sfcnztt,SUB_uqkvollf,WRD_cussmsexn,Calf Feeding,1,2024-07-11,0,0,0
ID_IVVULA,famer_32646,Female,Ussd,Below 35,trainer_name_8,GRP_eeuvoay,0,CNT_jeyuqkv,SUB_olnoadgc,WRD_vxdtejpsw,"Dairy Feed Management,Poultry Feed And Water Management,Record Keeping In Poultry",0,2024-05-15,0,0,0
ID_DMES5B,famer_39801,Female,Ussd,Above 35,trainer_name_2,GRP_tjdseoy,0,CNT_curllwc,SUB_fcnzttsu,WRD_cnzttsund,"Herd. Health. Management,Poultry Health Management. Practices",0,2024-12-05,0,0,0
ID_VPIM9M,famer_1407,Female,Ussd,Above 35,trainer_name_4,GRP_eqazbiy,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Importance Of Mineral Supplementation,1,2024-12-14,1,1,1
ID_UQ7RNI,famer_34621,Female,Ussd,Below 35,trainer_name_10,GRP_rkkchya,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Management Practises..,1,2024-09-03,0,0,1
ID_ELY3MP,famer_17804,Female,Ussd,Above 35,trainer_name_4,GRP_xuhbrdc,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Poultry Management Practises..,1,2024-09-13,0,1,1
ID_B4TDQX,famer_27796,Female,Ussd,Above 35,trainer_name_10,GRP_grzttmc,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Importance Of Mineral Supplementation,1,2024-12-12,0,1,1
ID_NFSLOU,famer_34173,Female,Manual,Above 35,trainer_name_10,GRP_gkbgllc,0,CNT_uemdrmi,SUB_zpljppha,WRD_faxhrxaaa,Pest And Disease Management In Maize And Beans,1,2025-05-08,0,0,0
ID_J6VRPU,famer_30664,Male,Ussd,Above 35,trainer_name_4,GRP_ullispn,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Poultry Health With Biodeal,1,2024-12-11,0,1,1
ID_YQQWB0,famer_30660,Male,Ussd,Below 35,trainer_name_10,GRP_yzqdcui,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Poultry Health Management. Practices,1,2024-12-05,1,1,1
ID_S197I2,famer_26240,Male,Ussd,Below 35,trainer_name_10,GRP_gjtwhcp,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Aflatoxin In Dairy Farming,1,2024-10-23,0,1,1
ID_XZLRRD,famer_16824,Female,Ussd,Above 35,trainer_name_10,GRP_qzyksnm,0,CNT_uemdrmi,SUB_rcepuehy,WRD_zardqqcrx,Why You Should Vaccinate Your Animals,1,2024-11-14,0,1,1
ID_RJC6TK,famer_3803,Female,Manual,Above 35,trainer_name_4,GRP_qlqurqv,0,CNT_sjbzlxr,SUB_pjycidiz,WRD_ukrqggbdl,Herd Health,1,2024-04-24,0,0,0
