ID,Target_07_AUC,Target_07_LogLoss,Target_90_AUC,Target_90_LogLoss,Target_120_AUC,Target_120_LogLoss
ID_9793R6,0,0,0,0,0,0
ID_QVE64X,0,0,0,0,0,0
ID_XU21SR,0,0,0,0,0,0
ID_1MP5S8,0,0,0,0,0,0
ID_JWNQL6,0,0,0,0,0,0
ID_F9ZN6Q,0,0,0,0,0,0
ID_2Z6RWX,0,0,0,0,0,0
ID_H17JHJ,0,0,0,0,0,0
ID_8PZLDC,0,0,0,0,0,0
ID_HJQDHX,0,0,0,0,0,0
ID_NEEATT,0,0,0,0,0,0
ID_NEIDAF,0,0,0,0,0,0
ID_4QBNUB,0,0,0,0,0,0
ID_7QMP31,0,0,0,0,0,0
ID_RLFZC8,0,0,0,0,0,0
ID_Q5KPRX,0,0,0,0,0,0
ID_4L9V1Q,0,0,0,0,0,0
ID_3EUVGD,0,0,0,0,0,0
ID_J51NVU,0,0,0,0,0,0
ID_NWT6OW,0,0,0,0,0,0
ID_UWANHL,0,0,0,0,0,0
ID_8K6CF3,0,0,0,0,0,0
ID_8148WA,0,0,0,0,0,0
ID_48UUQT,0,0,0,0,0,0
ID_MRFFJI,0,0,0,0,0,0
ID_EH58O2,0,0,0,0,0,0
ID_S24KMX,0,0,0,0,0,0
ID_SVD00H,0,0,0,0,0,0
ID_A9BO2J,0,0,0,0,0,0
ID_JGDYP7,0,0,0,0,0,0
ID_LE0DQ9,0,0,0,0,0,0
ID_BSZ6EA,0,0,0,0,0,0
ID_STZKSS,0,0,0,0,0,0
ID_2MZJSX,0,0,0,0,0,0
ID_DCRV0R,0,0,0,0,0,0
ID_6MB330,0,0,0,0,0,0
ID_QXB0MT,0,0,0,0,0,0
ID_R2TX6U,0,0,0,0,0,0
ID_8XRGBS,0,0,0,0,0,0
ID_WTJZIE,0,0,0,0,0,0
ID_ZMVMTZ,0,0,0,0,0,0
ID_61CY44,0,0,0,0,0,0
ID_XMUIB6,0,0,0,0,0,0
ID_ZB9AZK,0,0,0,0,0,0
ID_20F9NX,0,0,0,0,0,0
ID_1KT700,0,0,0,0,0,0
ID_6K3TR9,0,0,0,0,0,0
ID_JQJAHR,0,0,0,0,0,0
ID_I4ZRQC,0,0,0,0,0,0
ID_4UMRGL,0,0,0,0,0,0
ID_I2WY0G,0,0,0,0,0,0
ID_BCV7HB,0,0,0,0,0,0
ID_LX5WOL,0,0,0,0,0,0
ID_SKVITD,0,0,0,0,0,0
ID_M48FF4,0,0,0,0,0,0
ID_VNI7QR,0,0,0,0,0,0
ID_W9NS8I,0,0,0,0,0,0
ID_JWLBYF,0,0,0,0,0,0
ID_UUI7AQ,0,0,0,0,0,0
ID_1N0KTU,0,0,0,0,0,0
ID_HCRZDY,0,0,0,0,0,0
ID_CT6PIO,0,0,0,0,0,0
ID_VAV0TE,0,0,0,0,0,0
ID_SIVTRM,0,0,0,0,0,0
ID_GNDJV2,0,0,0,0,0,0
ID_8QTU1C,0,0,0,0,0,0
ID_09QJRP,0,0,0,0,0,0
ID_0IZ28E,0,0,0,0,0,0
ID_PRBECC,0,0,0,0,0,0
ID_FB48NU,0,0,0,0,0,0
ID_VYAGLK,0,0,0,0,0,0
ID_71H3A1,0,0,0,0,0,0
ID_N55364,0,0,0,0,0,0
ID_XIY76G,0,0,0,0,0,0
ID_6LQOQS,0,0,0,0,0,0
ID_Z8SXCR,0,0,0,0,0,0
ID_JBN7PH,0,0,0,0,0,0
ID_SUB50P,0,0,0,0,0,0
ID_RLCJUK,0,0,0,0,0,0
ID_06WXUX,0,0,0,0,0,0
ID_2TLKJK,0,0,0,0,0,0
ID_E8KMXB,0,0,0,0,0,0
ID_R1VNGE,0,0,0,0,0,0
ID_WZYPJ5,0,0,0,0,0,0
ID_ZL9A40,0,0,0,0,0,0
ID_U9F905,0,0,0,0,0,0
ID_O4CIH0,0,0,0,0,0,0
ID_VHB17D,0,0,0,0,0,0
ID_1LN8B1,0,0,0,0,0,0
ID_8YZOKJ,0,0,0,0,0,0
ID_CK2KXQ,0,0,0,0,0,0
ID_IPC3H3,0,0,0,0,0,0
ID_EBC30M,0,0,0,0,0,0
ID_G4K459,0,0,0,0,0,0
ID_RRVM3M,0,0,0,0,0,0
ID_RXGKUL,0,0,0,0,0,0
ID_EYL4OY,0,0,0,0,0,0
ID_AKGWAD,0,0,0,0,0,0
ID_DH1PB5,0,0,0,0,0,0
ID_D3SSFJ,0,0,0,0,0,0
ID_MI5WGF,0,0,0,0,0,0
ID_NQ35D0,0,0,0,0,0,0
ID_U5JJ8V,0,0,0,0,0,0
ID_IKMV57,0,0,0,0,0,0
ID_TX58YN,0,0,0,0,0,0
ID_80ATMA,0,0,0,0,0,0
ID_24S5WU,0,0,0,0,0,0
ID_RQH7N5,0,0,0,0,0,0
ID_229JDE,0,0,0,0,0,0
ID_6PIUOQ,0,0,0,0,0,0
ID_B06KZ0,0,0,0,0,0,0
ID_QYD6AJ,0,0,0,0,0,0
ID_D1BKQN,0,0,0,0,0,0
ID_PO9M9A,0,0,0,0,0,0
ID_VFCEBO,0,0,0,0,0,0
ID_DX7S52,0,0,0,0,0,0
ID_ZUWPNW,0,0,0,0,0,0
ID_M0H07J,0,0,0,0,0,0
ID_LXUKER,0,0,0,0,0,0
ID_DL2A6O,0,0,0,0,0,0
ID_H2XMJ6,0,0,0,0,0,0
ID_6AGULX,0,0,0,0,0,0
ID_T6VISM,0,0,0,0,0,0
ID_STGHZK,0,0,0,0,0,0
ID_LMZQWC,0,0,0,0,0,0
ID_SAKQKY,0,0,0,0,0,0
ID_WKV00A,0,0,0,0,0,0
ID_T9P91Z,0,0,0,0,0,0
ID_87620F,0,0,0,0,0,0
ID_EUIBHX,0,0,0,0,0,0
ID_EADH2G,0,0,0,0,0,0
ID_BLT196,0,0,0,0,0,0
ID_XEZ0FX,0,0,0,0,0,0
ID_FZF4CD,0,0,0,0,0,0
ID_LPW3EP,0,0,0,0,0,0
ID_BTBN8E,0,0,0,0,0,0
ID_EJG2MZ,0,0,0,0,0,0
ID_AO5BZ1,0,0,0,0,0,0
ID_KQ6YUL,0,0,0,0,0,0
ID_NGVU0S,0,0,0,0,0,0
ID_VHU7OA,0,0,0,0,0,0
ID_7MF67R,0,0,0,0,0,0
ID_QNFJK3,0,0,0,0,0,0
ID_39VF8B,0,0,0,0,0,0
ID_DRTMG6,0,0,0,0,0,0
ID_0UIPM0,0,0,0,0,0,0
ID_J5UXRH,0,0,0,0,0,0
ID_9G6EMM,0,0,0,0,0,0
ID_DAPB98,0,0,0,0,0,0
ID_AROX5H,0,0,0,0,0,0
ID_3ICV39,0,0,0,0,0,0
ID_F6S7OZ,0,0,0,0,0,0
ID_D072U2,0,0,0,0,0,0
ID_3WUTAE,0,0,0,0,0,0
ID_ELAQYY,0,0,0,0,0,0
ID_ML7CH0,0,0,0,0,0,0
ID_NCS5A6,0,0,0,0,0,0
ID_RUFLRB,0,0,0,0,0,0
ID_YYZVBN,0,0,0,0,0,0
ID_T7XA4B,0,0,0,0,0,0
ID_Y6RY2W,0,0,0,0,0,0
ID_0LCGMR,0,0,0,0,0,0
ID_QJNOQQ,0,0,0,0,0,0
ID_C1W8D2,0,0,0,0,0,0
ID_KOKZ4T,0,0,0,0,0,0
ID_VCEQ4B,0,0,0,0,0,0
ID_9GHA0T,0,0,0,0,0,0
ID_786BKP,0,0,0,0,0,0
ID_Y9T4CK,0,0,0,0,0,0
ID_C6YN30,0,0,0,0,0,0
ID_PWN7DF,0,0,0,0,0,0
ID_PM12L0,0,0,0,0,0,0
ID_6CGMHT,0,0,0,0,0,0
ID_SUG4TF,0,0,0,0,0,0
ID_7TSAID,0,0,0,0,0,0
ID_I5SKB8,0,0,0,0,0,0
ID_33I169,0,0,0,0,0,0
ID_UV2BZM,0,0,0,0,0,0
ID_H131O4,0,0,0,0,0,0
ID_GATQHF,0,0,0,0,0,0
ID_NNBLV5,0,0,0,0,0,0
ID_HDV02K,0,0,0,0,0,0
ID_X4IRXZ,0,0,0,0,0,0
ID_TZW5F2,0,0,0,0,0,0
ID_6CQSST,0,0,0,0,0,0
ID_UZB4V7,0,0,0,0,0,0
ID_9CDR69,0,0,0,0,0,0
ID_AQN87L,0,0,0,0,0,0
ID_SLZLDO,0,0,0,0,0,0
ID_FRA1OC,0,0,0,0,0,0
ID_3GKMER,0,0,0,0,0,0
ID_KJR5CA,0,0,0,0,0,0
ID_6CW66C,0,0,0,0,0,0
ID_AW8A49,0,0,0,0,0,0
ID_1TIBHX,0,0,0,0,0,0
ID_ERBC6E,0,0,0,0,0,0
ID_2Z1TKX,0,0,0,0,0,0
ID_KKOTZR,0,0,0,0,0,0
ID_FDZJFK,0,0,0,0,0,0
ID_G9BF5W,0,0,0,0,0,0
ID_LIPFGS,0,0,0,0,0,0
ID_3N7ND8,0,0,0,0,0,0
ID_W4TXZN,0,0,0,0,0,0
ID_1IQUNN,0,0,0,0,0,0
ID_SJ5PIX,0,0,0,0,0,0
ID_IGM380,0,0,0,0,0,0
ID_8KRBTS,0,0,0,0,0,0
ID_KBXBU4,0,0,0,0,0,0
ID_NCTN1J,0,0,0,0,0,0
ID_WI1OT3,0,0,0,0,0,0
ID_ZBGT34,0,0,0,0,0,0
ID_YB89HL,0,0,0,0,0,0
ID_IL6FDK,0,0,0,0,0,0
ID_T6D50B,0,0,0,0,0,0
ID_SR00BA,0,0,0,0,0,0
ID_RMHCTI,0,0,0,0,0,0
ID_LRAJIO,0,0,0,0,0,0
ID_ISOPVQ,0,0,0,0,0,0
ID_78S52W,0,0,0,0,0,0
ID_KZFL8U,0,0,0,0,0,0
ID_XTQ8O8,0,0,0,0,0,0
ID_9D0X8K,0,0,0,0,0,0
ID_MGZTH7,0,0,0,0,0,0
ID_3UB7CY,0,0,0,0,0,0
ID_VPEJ6P,0,0,0,0,0,0
ID_TAX866,0,0,0,0,0,0
ID_E44LXK,0,0,0,0,0,0
ID_T9FUMQ,0,0,0,0,0,0
ID_RI6R7G,0,0,0,0,0,0
ID_GTQOEN,0,0,0,0,0,0
ID_YFZIZO,0,0,0,0,0,0
ID_L04J14,0,0,0,0,0,0
ID_FVSSSH,0,0,0,0,0,0
ID_HILJN9,0,0,0,0,0,0
ID_CWUNTH,0,0,0,0,0,0
ID_4GH111,0,0,0,0,0,0
ID_UQJYUO,0,0,0,0,0,0
ID_VMHS1Y,0,0,0,0,0,0
ID_LKBR69,0,0,0,0,0,0
ID_ZIIGZY,0,0,0,0,0,0
ID_5VVSW6,0,0,0,0,0,0
ID_A33QE3,0,0,0,0,0,0
ID_KUVVRS,0,0,0,0,0,0
ID_2324YX,0,0,0,0,0,0
ID_8POEBN,0,0,0,0,0,0
ID_LK76AR,0,0,0,0,0,0
ID_TTFSXE,0,0,0,0,0,0
ID_AFIO8W,0,0,0,0,0,0
ID_I8HTC6,0,0,0,0,0,0
ID_H72ZJP,0,0,0,0,0,0
ID_G3LONX,0,0,0,0,0,0
ID_4Q0383,0,0,0,0,0,0
ID_FN4AMR,0,0,0,0,0,0
ID_M36JCI,0,0,0,0,0,0
ID_EIIV9E,0,0,0,0,0,0
ID_GEWWY9,0,0,0,0,0,0
ID_8BXUB4,0,0,0,0,0,0
ID_MONQK3,0,0,0,0,0,0
ID_6KASHT,0,0,0,0,0,0
ID_2Z9KDF,0,0,0,0,0,0
ID_2WP7X7,0,0,0,0,0,0
ID_XOFX64,0,0,0,0,0,0
ID_06PVNH,0,0,0,0,0,0
ID_7NAAGJ,0,0,0,0,0,0
ID_JV9DNE,0,0,0,0,0,0
ID_3XCFM9,0,0,0,0,0,0
ID_KWMH7B,0,0,0,0,0,0
ID_UTEFQE,0,0,0,0,0,0
ID_ET82OV,0,0,0,0,0,0
ID_PVD5SA,0,0,0,0,0,0
ID_MJ7YF6,0,0,0,0,0,0
ID_MVLG8F,0,0,0,0,0,0
ID_67HI39,0,0,0,0,0,0
ID_22KGBF,0,0,0,0,0,0
ID_FIUGVJ,0,0,0,0,0,0
ID_HD3RPH,0,0,0,0,0,0
ID_Z5TDUL,0,0,0,0,0,0
ID_O5RKKU,0,0,0,0,0,0
ID_6H1EYZ,0,0,0,0,0,0
ID_LWWU2W,0,0,0,0,0,0
ID_T67N9K,0,0,0,0,0,0
ID_AS2T1E,0,0,0,0,0,0
ID_SNYKUP,0,0,0,0,0,0
ID_O2GZBQ,0,0,0,0,0,0
ID_0Z9362,0,0,0,0,0,0
ID_RU4411,0,0,0,0,0,0
ID_2HZFEC,0,0,0,0,0,0
ID_CNDGX7,0,0,0,0,0,0
ID_0HL0VW,0,0,0,0,0,0
ID_GTQXJM,0,0,0,0,0,0
ID_7UX79V,0,0,0,0,0,0
ID_2BMAPF,0,0,0,0,0,0
ID_TMUQFF,0,0,0,0,0,0
ID_H6TAVV,0,0,0,0,0,0
ID_6SG277,0,0,0,0,0,0
ID_GEVGYG,0,0,0,0,0,0
ID_DV5GNR,0,0,0,0,0,0
ID_ELBOZD,0,0,0,0,0,0
ID_99GGRQ,0,0,0,0,0,0
ID_GKRSTL,0,0,0,0,0,0
ID_YV7UOQ,0,0,0,0,0,0
ID_UDPRV5,0,0,0,0,0,0
ID_F3BNW1,0,0,0,0,0,0
ID_6WXS12,0,0,0,0,0,0
ID_Y36F82,0,0,0,0,0,0
ID_DX75KG,0,0,0,0,0,0
ID_5JSST9,0,0,0,0,0,0
ID_3EB505,0,0,0,0,0,0
ID_Z85KCJ,0,0,0,0,0,0
ID_577P9Y,0,0,0,0,0,0
ID_FKFLBM,0,0,0,0,0,0
ID_DCKBUF,0,0,0,0,0,0
ID_Y7LZDF,0,0,0,0,0,0
ID_EWC9WO,0,0,0,0,0,0
ID_JYXIDP,0,0,0,0,0,0
ID_53LBLQ,0,0,0,0,0,0
ID_8CZXW6,0,0,0,0,0,0
ID_BC7Z5P,0,0,0,0,0,0
ID_7UPV6A,0,0,0,0,0,0
ID_N5L0FH,0,0,0,0,0,0
ID_C51NGG,0,0,0,0,0,0
ID_6DN4MJ,0,0,0,0,0,0
ID_WCKFHX,0,0,0,0,0,0
ID_29QZPP,0,0,0,0,0,0
ID_X4A5JD,0,0,0,0,0,0
ID_AJWM2E,0,0,0,0,0,0
ID_D9RNQQ,0,0,0,0,0,0
ID_2C37C1,0,0,0,0,0,0
ID_1HB1IM,0,0,0,0,0,0
ID_OIKTBD,0,0,0,0,0,0
ID_8BN464,0,0,0,0,0,0
ID_HLQ6J7,0,0,0,0,0,0
ID_6WM977,0,0,0,0,0,0
ID_NOR6WT,0,0,0,0,0,0
ID_VYPSO5,0,0,0,0,0,0
ID_8IQ994,0,0,0,0,0,0
ID_38Y8NO,0,0,0,0,0,0
ID_A7P2XS,0,0,0,0,0,0
ID_S05DGQ,0,0,0,0,0,0
ID_SCLKXG,0,0,0,0,0,0
ID_3OC70A,0,0,0,0,0,0
ID_3XOFYU,0,0,0,0,0,0
ID_H135SV,0,0,0,0,0,0
ID_BO44TI,0,0,0,0,0,0
ID_PR1H01,0,0,0,0,0,0
ID_PQG7R4,0,0,0,0,0,0
ID_SA4QNF,0,0,0,0,0,0
ID_HNWDYY,0,0,0,0,0,0
ID_F2IVP1,0,0,0,0,0,0
ID_2ENSHM,0,0,0,0,0,0
ID_F7M35H,0,0,0,0,0,0
ID_SF04T0,0,0,0,0,0,0
ID_5CAGHH,0,0,0,0,0,0
ID_2AU2T8,0,0,0,0,0,0
ID_78XK6I,0,0,0,0,0,0
ID_D8QLT5,0,0,0,0,0,0
ID_IS6YV0,0,0,0,0,0,0
ID_D90VTV,0,0,0,0,0,0
ID_C3S2E5,0,0,0,0,0,0
ID_CATHCN,0,0,0,0,0,0
ID_1WIJUN,0,0,0,0,0,0
ID_ZL9Y03,0,0,0,0,0,0
ID_MVD119,0,0,0,0,0,0
ID_SGMB5M,0,0,0,0,0,0
ID_DAB0UN,0,0,0,0,0,0
ID_J3VQEL,0,0,0,0,0,0
ID_6WVTF8,0,0,0,0,0,0
ID_E9UP92,0,0,0,0,0,0
ID_4QROO8,0,0,0,0,0,0
ID_HT9W0J,0,0,0,0,0,0
ID_JCHPCP,0,0,0,0,0,0
ID_JI5M74,0,0,0,0,0,0
ID_3EEFO2,0,0,0,0,0,0
ID_JPI34T,0,0,0,0,0,0
ID_7G0M0S,0,0,0,0,0,0
ID_XO3PYI,0,0,0,0,0,0
ID_ZUHCZ2,0,0,0,0,0,0
ID_U2JMSL,0,0,0,0,0,0
ID_BW5XNW,0,0,0,0,0,0
ID_3ROA64,0,0,0,0,0,0
ID_4PCKIZ,0,0,0,0,0,0
ID_6T0M8R,0,0,0,0,0,0
ID_U5JEC8,0,0,0,0,0,0
ID_5C9U99,0,0,0,0,0,0
ID_FN05RQ,0,0,0,0,0,0
ID_Z1O4G2,0,0,0,0,0,0
ID_UBLPQC,0,0,0,0,0,0
ID_22IHJ5,0,0,0,0,0,0
ID_73FYSW,0,0,0,0,0,0
ID_BW73QZ,0,0,0,0,0,0
ID_ZCQ6K0,0,0,0,0,0,0
ID_J0I922,0,0,0,0,0,0
ID_RL7ZD2,0,0,0,0,0,0
ID_ZQOX58,0,0,0,0,0,0
ID_FLK2UQ,0,0,0,0,0,0
ID_7WCBRY,0,0,0,0,0,0
ID_URXYNU,0,0,0,0,0,0
ID_XLYU83,0,0,0,0,0,0
ID_3JPALR,0,0,0,0,0,0
ID_6C40UV,0,0,0,0,0,0
ID_7S9GNW,0,0,0,0,0,0
ID_XE78GP,0,0,0,0,0,0
ID_0H58N3,0,0,0,0,0,0
ID_R8IPH7,0,0,0,0,0,0
ID_7ZYMP2,0,0,0,0,0,0
ID_F3HSQM,0,0,0,0,0,0
ID_2NLVR3,0,0,0,0,0,0
ID_RRLF9Q,0,0,0,0,0,0
ID_FH5J71,0,0,0,0,0,0
ID_3OS4QG,0,0,0,0,0,0
ID_M85CCM,0,0,0,0,0,0
ID_6FJWZN,0,0,0,0,0,0
ID_YUK7ZN,0,0,0,0,0,0
ID_XSV5VE,0,0,0,0,0,0
ID_SICURA,0,0,0,0,0,0
ID_L6B73P,0,0,0,0,0,0
ID_L4A2EV,0,0,0,0,0,0
ID_X7IVUQ,0,0,0,0,0,0
ID_TMRNHU,0,0,0,0,0,0
ID_ISQ9WY,0,0,0,0,0,0
ID_22PQA8,0,0,0,0,0,0
ID_PZYUWQ,0,0,0,0,0,0
ID_JH53KN,0,0,0,0,0,0
ID_QIQ4HY,0,0,0,0,0,0
ID_8A5710,0,0,0,0,0,0
ID_LR333P,0,0,0,0,0,0
ID_WKFTQU,0,0,0,0,0,0
ID_L1GSD8,0,0,0,0,0,0
ID_S3CTCO,0,0,0,0,0,0
ID_6PZU7S,0,0,0,0,0,0
ID_ONYFN9,0,0,0,0,0,0
ID_OJ6EST,0,0,0,0,0,0
ID_NPL8EH,0,0,0,0,0,0
ID_2P76JQ,0,0,0,0,0,0
ID_DLKMPN,0,0,0,0,0,0
ID_5AF5WA,0,0,0,0,0,0
ID_X793RZ,0,0,0,0,0,0
ID_ZE464J,0,0,0,0,0,0
ID_KCYJWN,0,0,0,0,0,0
ID_U1HASW,0,0,0,0,0,0
ID_DSQKDE,0,0,0,0,0,0
ID_J2HG9E,0,0,0,0,0,0
ID_W9C2E8,0,0,0,0,0,0
ID_AV5TZI,0,0,0,0,0,0
ID_IGSKJJ,0,0,0,0,0,0
ID_XN768S,0,0,0,0,0,0
ID_LWKE8R,0,0,0,0,0,0
ID_BKHQRD,0,0,0,0,0,0
ID_P6L2QJ,0,0,0,0,0,0
ID_0Y7WJX,0,0,0,0,0,0
ID_UL3V9U,0,0,0,0,0,0
ID_UE1YTX,0,0,0,0,0,0
ID_IYCL8A,0,0,0,0,0,0
ID_2I42I6,0,0,0,0,0,0
ID_LUAXFD,0,0,0,0,0,0
ID_A198M0,0,0,0,0,0,0
ID_QIGMWY,0,0,0,0,0,0
ID_D2YWC7,0,0,0,0,0,0
ID_7W0B3V,0,0,0,0,0,0
ID_VULW3W,0,0,0,0,0,0
ID_SXT6HA,0,0,0,0,0,0
ID_118QHA,0,0,0,0,0,0
ID_HSRIVV,0,0,0,0,0,0
ID_XGSIM1,0,0,0,0,0,0
ID_PZD2S3,0,0,0,0,0,0
ID_WZAU5D,0,0,0,0,0,0
ID_1SGDOK,0,0,0,0,0,0
ID_YYHRWS,0,0,0,0,0,0
ID_P2GFUI,0,0,0,0,0,0
ID_NXM7MA,0,0,0,0,0,0
ID_NC4GJJ,0,0,0,0,0,0
ID_C550XZ,0,0,0,0,0,0
ID_TW72CO,0,0,0,0,0,0
ID_JU0F2X,0,0,0,0,0,0
ID_WON50E,0,0,0,0,0,0
ID_D17D9Z,0,0,0,0,0,0
ID_MTZTTF,0,0,0,0,0,0
ID_LJOOVN,0,0,0,0,0,0
ID_2KMTWQ,0,0,0,0,0,0
ID_JTC2LL,0,0,0,0,0,0
ID_2SH2FX,0,0,0,0,0,0
ID_M5SHG8,0,0,0,0,0,0
ID_QJVS4J,0,0,0,0,0,0
ID_MDVJ3U,0,0,0,0,0,0
ID_47MQKB,0,0,0,0,0,0
ID_NPFHU8,0,0,0,0,0,0
ID_19F0AG,0,0,0,0,0,0
ID_MY2LPI,0,0,0,0,0,0
ID_QK4AVG,0,0,0,0,0,0
ID_HQTJ7L,0,0,0,0,0,0
ID_VNVRSB,0,0,0,0,0,0
ID_J2GI74,0,0,0,0,0,0
ID_WW8QVH,0,0,0,0,0,0
ID_0JZ1DP,0,0,0,0,0,0
ID_VXX38H,0,0,0,0,0,0
ID_L7BKBH,0,0,0,0,0,0
ID_VLOMA9,0,0,0,0,0,0
ID_EM81WO,0,0,0,0,0,0
ID_2ZQROL,0,0,0,0,0,0
ID_NSDYGF,0,0,0,0,0,0
ID_5LUJEJ,0,0,0,0,0,0
ID_3B7HKY,0,0,0,0,0,0
ID_VUB8TO,0,0,0,0,0,0
ID_UR1FR0,0,0,0,0,0,0
ID_IUEFIL,0,0,0,0,0,0
ID_H25J4P,0,0,0,0,0,0
ID_KXZB80,0,0,0,0,0,0
ID_DXS469,0,0,0,0,0,0
ID_AVP8ZT,0,0,0,0,0,0
ID_BMBN85,0,0,0,0,0,0
ID_6URIHA,0,0,0,0,0,0
ID_10254N,0,0,0,0,0,0
ID_HWGIXP,0,0,0,0,0,0
ID_PNNOFH,0,0,0,0,0,0
ID_0TF92X,0,0,0,0,0,0
ID_ZBDPQ4,0,0,0,0,0,0
ID_PA2KZ9,0,0,0,0,0,0
ID_5ODELL,0,0,0,0,0,0
ID_USO5XJ,0,0,0,0,0,0
ID_2IODNZ,0,0,0,0,0,0
ID_MKOQS4,0,0,0,0,0,0
ID_7DNTF7,0,0,0,0,0,0
ID_1VIHJO,0,0,0,0,0,0
ID_2DMI4Q,0,0,0,0,0,0
ID_Q91HCL,0,0,0,0,0,0
ID_UAA7JA,0,0,0,0,0,0
ID_CAL9QN,0,0,0,0,0,0
ID_7ZOGWF,0,0,0,0,0,0
ID_9L5QB4,0,0,0,0,0,0
ID_N9GVFP,0,0,0,0,0,0
ID_7LF397,0,0,0,0,0,0
ID_2L6MWG,0,0,0,0,0,0
ID_Q88OX7,0,0,0,0,0,0
ID_5993DV,0,0,0,0,0,0
ID_89C600,0,0,0,0,0,0
ID_6D7XVJ,0,0,0,0,0,0
ID_D59OCL,0,0,0,0,0,0
ID_9XWN4P,0,0,0,0,0,0
ID_0BHCKY,0,0,0,0,0,0
ID_QXYIJ8,0,0,0,0,0,0
ID_48UXH3,0,0,0,0,0,0
ID_6U2AXP,0,0,0,0,0,0
ID_RHFOB5,0,0,0,0,0,0
ID_DO1TOG,0,0,0,0,0,0
ID_N5F3MD,0,0,0,0,0,0
ID_TGLG3R,0,0,0,0,0,0
